Date,AAPL,GLD,JPM,MSFT,NVDA,SPY
2019-09-04,76752400,11285900,6929200,17995900,227728000,46887300
2019-09-05,95654800,20293200,13224700,26101800,695676000,83258100
2019-09-06,77449200,14175200,7836600,20824500,376976000,49584300
2019-09-09,109237600,11323800,13985100,25773900,417524000,51260300
2019-09-10,127111600,12629200,14333100,28903400,352812000,57947100
2019-09-11,177158400,7453000,9919200,24726100,361512000,68821100
2019-09-12,128906800,12673700,12283500,27010000,327840000,72908700
2019-09-13,159053200,13451700,16257200,23363100,324592000,62104800
2019-09-16,84632400,8094600,11993900,16731400,231832000,58191200
2019-09-17,73274800,7010200,10735400,17814200,223048000,41475500
2019-09-18,101360000,15026300,10665600,23982100,258152000,73375800
2019-09-19,88242400,8057400,9382600,35772100,245476000,76560500
2019-09-20,221652400,12110000,21862800,39167300,350244000,89565000
2019-09-23,76662000,9006500,9135100,17139300,249712000,43476800
2019-09-24,124763200,10576300,11696500,29773200,317268000,94869400
2019-09-25,87613600,11648400,9389400,21382000,308432000,71854000
2019-09-26,75334000,7984600,9899200,17456600,234564000,56179700
2019-09-27,101408000,9804200,10207800,22477700,362056000,84746600
2019-09-30,103909600,15459100,9755000,17280900,186184000,51662400
2019-10-01,139223200,12476200,11250300,21466600,366008000,88242400
2019-10-02,138449200,11914300,12548700,30521700,293372000,122539500
2019-10-03,114426000,12396100,12735200,24132900,450588000,85278800
2019-10-04,138478800,9651000,9453100,22897700,265524000,65091200
2019-10-07,122306000,6127200,6771600,15303700,480984000,59610500
2019-10-08,111820000,10428900,10806300,25550500,444436000,95708100
